Geo Point;Geo Shape;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
-5.98184508121,-1.36045392187;"{""type"": ""Point"", ""coordinates"": [-1.360453921871411, -5.981845081214867]}";44528;1098;PORTE DE VINCENNES;Pte de Vincennes;TRAM;TRAM  3b;A01757;TRAM 3b;TRAM 3b-101039;3B;438.88321961;298.67870768
-5.98152172452,-1.36047174062;"{""type"": ""Point"", ""coordinates"": [-1.360471740620871, -5.981521724520743]}";45629;1094;SÉVERINE;Séverine;TRAM;;A01757;TRAM 3b;TRAM 3b-1602;3B;438.88877719;350.59950942
-5.98117471277,-1.36055595208;"{""type"": ""Point"", ""coordinates"": [-1.360555952075494, -5.981174712767845]}";58499;1109;ELLA FITZGERALD;Ella Fitzgerald;TRAM;;A01757;TRAM 3b;TRAM 3b-1607;3B;428.46292991;406.89501075
-5.98115353422,-1.36083017081;"{""type"": ""Point"", ""coordinates"": [-1.360830170810643, -5.981153534220849]}";44503;1113;PORTE D'AUBERVILLIERS;Pte d'Aubervilliers;TRAM;;A01757;TRAM 3b;TRAM 3b-1610;3B;389.52945415;412.71445239
-5.98115997833,-1.36094685906;"{""type"": ""Point"", ""coordinates"": [-1.360946859060203, -5.981159978328275]}";44517;1115;PORTE DE LA CHAPELLE;Pte de la Chapelle;TRAM;;A01757;TRAM 3b;TRAM 3b-112085;3B;365.94329834;412.71710205
-5.98081666384,-1.36167983215;"{""type"": ""Point"", ""coordinates"": [-1.361679832148603, -5.980816663841127]}";42231;1083;LES COURTILLES;Les Courtilles;TRAM;;A01191;TRAM 1;TRAM 1-113079;1;251.50962524;474.1691628
-5.98112184408,-1.36209734396;"{""type"": ""Point"", ""coordinates"": [-1.362097343957455, -5.981121844078197]}";58495;1089;JACQUELINE AURIOL;Jacqueline Auriol;TRAM;;A01192;TRAM 2;TRAM 2-1508;2;181.89427281;429.01648539
-5.98155657725,-1.36039185005;"{""type"": ""Point"", ""coordinates"": [-1.360391850046015, -5.981556577247333]}";47890;300;GALLIENI;Gallieni;METRO;METRO 3;A01536;METRO 3;METRO 3-103033;3;451.38435169;344.3126332
-5.98157118893,-1.36088812007;"{""type"": ""Point"", ""coordinates"": [-1.360888120073847, -5.981571188930392]}";44600;725;RÉAUMUR-SÉBASTOPOL;Réaumur-Sébastopol;METRO;;A01536;METRO 3;METRO 3-104047;3;371.71824449;346.37039155
-5.98156691935,-1.36058275655;"{""type"": ""Point"", ""coordinates"": [-1.36058275654708, -5.981566919349004]}";44310;634;PÈRE LACHAISE;Père Lachaise;METRO;;A01536;METRO 3;METRO 3-103039;3;420.69639301;344.34825766
-5.9815384254,-1.36122193534;"{""type"": ""Point"", ""coordinates"": [-1.361221935344364, -5.981538425396067]}";58718;344;HAVRE-CAUMARTIN;Havre-Caumartin;METRO;;A01536;METRO 3;METRO 3-103061;3;318.50778156;354.57289371
-5.98225573882,-1.36079575183;"{""type"": ""Point"", ""coordinates"": [-1.36079575183246, -5.982255738822732]}";44550;990;POTERNE DES PEUPLIERS;Poterne des Peupliers;TRAM;;A01193;TRAM 3a;TRAM 3a-1313;3A;380.46384378;235.96907307
-5.9815606751,-1.36046959386;"{""type"": ""Point"", ""coordinates"": [-1.360469593858239, -5.981560675098576]}";44510;684;PORTE DE BAGNOLET;Pte de Bagnolet;METRO;;A01536;METRO 3;METRO 3-103035;3;438.8881304;344.3453373
-5.9815611337,-1.36084841182;"{""type"": ""Point"", ""coordinates"": [-1.360848411820103, -5.981561133704854]}";42230;28;ARTS ET MÉTIERS;Arts et Métiers;METRO;;A01536;METRO 3;METRO 3-103049;3;378.17107208;347.62825133
-5.98151096437,-1.361267671;"{""type"": ""Point"", ""coordinates"": [-1.361267670997324, -5.981510964373542]}";58566;771;SAINT-LAZARE;St-Lazare;METRO;;A01536;METRO 3;METRO 3-329;3;311.4208374;359.37420654
-5.98154010926,-1.36082960742;"{""type"": ""Point"", ""coordinates"": [-1.360829607415009, -5.981540109255848]}";44924;849;TEMPLE;Temple;METRO;;A01536;METRO 3;METRO 3-103047;3;381.37091065;350.8270874
-5.98157906709,-1.36103074292;"{""type"": ""Point"", ""coordinates"": [-1.361030742915189, -5.981579067093056]}";45101;104;BOURSE;Bourse;METRO;;A01536;METRO 3;METRO 3-103055;3;348.7902832;346.37292481
-5.98075961479,-1.36087864848;"{""type"": ""Point"", ""coordinates"": [-1.360878648478897, -5.980759614785541]}";44095;1133;MARCHÉ DE SAINT-DENIS;Marché de St-Denis;TRAM;TRAM  5;A01760;TRAM 5;TRAM 5-1002;5;380.41842008;476.2021697
-5.98054879808,-1.360890022;"{""type"": ""Point"", ""coordinates"": [-1.360890022004596, -5.980548798079335]}";50686;1127;SUZANNE VALADON;Suzanne Valadon;TRAM;;A01760;TRAM 5;TRAM 5-1505;5;380.46120532;510.05003485
-5.98049638343,-1.36089285051;"{""type"": ""Point"", ""coordinates"": [-1.360892850514319, -5.980496383430266]}";50687;1126;MAIRIE DE PIERREFITTE;Mairie de Pierrefitte;TRAM;;A01760;TRAM 5;TRAM 5-1506;5;380.46966886;516.87135177
-5.9803647861,-1.36056786105;"{""type"": ""Point"", ""coordinates"": [-1.360567861049457, -5.980364786097203]}";44298;1120;PAUL VALÉRY;Paul Valéry;TRAM;;A01760;TRAM 5;TRAM 5-1508;5;433.72132531;536.65164478
-5.98037356843,-1.36072681659;"{""type"": ""Point"", ""coordinates"": [-1.360726816594577, -5.980373568426323]}";59018;1122;LES CHOLETTES;Les Cholettes;TRAM;;A01760;TRAM 5;TRAM 5-1513;5;408.16833341;536.65414562
-5.98280461063,-1.36088800766;"{""type"": ""Point"", ""coordinates"": [-1.360888007664753, -5.982804610632494]}";47688;1149;LA BELLE EPINE;La Belle Epine;TRAM;;A02134;TRAM 7;TRAM 7-1818;7;360.8204956;148.92193645
